id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
1778,Tuesday,Unknown,Male,Elementary school,Owner,Above 10yr,Other,Owner,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,18-30,3,No distancing,Slight Injury,8
1779,Wednesday,18-30,Male,NaN,NaN,NaN,Automobile,NaN,Office areas,other,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Overtaking,Slight Injury,16
1780,Wednesday,Over 51,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,3,No distancing,Slight Injury,16
1781,Saturday,18-30,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Changing lane to the left,Slight Injury,18
1782,Saturday,Unknown,Male,High school,Owner,Above 10yr,NaN,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Driving under the influence of drugs,Slight Injury,18
1783,Thursday,31-50,Male,NaN,NaN,NaN,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,31-50,2,No distancing,Slight Injury,12
1784,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,NaN,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No distancing,Slight Injury,16
1785,Thursday,Over 51,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,16
1786,Thursday,18-30,Male,Junior high school,Owner,Below 1yr,NaN,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,2,Changing lane to the left,Slight Injury,11
1787,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Moving Backward,Slight Injury,11
1788,Sunday,Unknown,Male,Junior high school,Owner,2-5yr,Taxi,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,Under 18,2,No distancing,Slight Injury,20
1789,Thursday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,2,No distancing,Slight Injury,23
1790,Thursday,Unknown,Male,Junior high school,Owner,NaN,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,18-30,3,Driving carelessly,Slight Injury,23
1791,Friday,18-30,Male,NaN,Owner,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,18-30,3,Moving Backward,Slight Injury,13
1792,Friday,Over 51,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,Office areas,NaN,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No distancing,Slight Injury,10
1793,Friday,18-30,Male,Elementary school,Owner,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,10
1794,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Driving carelessly,Slight Injury,1
1795,Tuesday,Under 18,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving to the left,Slight Injury,1
1796,Monday,31-50,Male,NaN,Owner,NaN,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,Changing lane to the right,Slight Injury,15
1797,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,31-50,3,Driving carelessly,Slight Injury,15
1798,Tuesday,18-30,Male,High school,Owner,5-10yr,NaN,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,14
1799,Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,No priority to vehicle,Slight Injury,14
1800,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,14
1801,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Church areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,NaN,na,na,Turnover,Slight Injury,18
1802,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No priority to vehicle,Slight Injury,18
1803,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Other,One way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving at high speed,Slight Injury,20
1804,Tuesday,Unknown,Male,Junior high school,Employee,No Licence,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,20
1805,Wednesday,18-30,Male,Above high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No distancing,Slight Injury,19
1806,Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Under 18,3,Driving carelessly,Slight Injury,19
1807,Wednesday,Over 51,Unknown,Elementary school,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,31-50,3,Driving carelessly,Slight Injury,11
1808,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Over 51,3,Moving Backward,Slight Injury,11
1809,Thursday,18-30,Male,High school,Employee,5-10yr,Other,Owner,Office areas,One way,Tangent road with flat terrain,O Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Getting off,31-50,3,No distancing,Slight Injury,18
1810,Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Getting off,31-50,3,Changing lane to the right,Slight Injury,18
1811,Thursday,31-50,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,Overtaking,Slight Injury,16
1812,Friday,18-30,Male,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Overtaking,18-30,3,No distancing,Slight Injury,0
1813,Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,na,na,Overtaking,Slight Injury,0
1814,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,School areas,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Moving Backward,Slight Injury,11
1815,Saturday,18-30,Male,Writing & reading,Employee,Below 1yr,Lorry (11?40Q),Owner,Residential areas,One way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,No distancing,Slight Injury,11
1816,Friday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Rollover,2,2,Getting off,31-50,3,No distancing,Slight Injury,21
1817,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Reversing,Over 51,3,No priority to vehicle,Slight Injury,21
1818,Saturday,31-50,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Over 51,3,No priority to vehicle,Slight Injury,13
1819,Saturday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,na,na,Changing lane to the left,Slight Injury,18
1821,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Over 51,3,Driving under the influence of drugs,Slight Injury,16
1822,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,18-30,3,Changing lane to the left,Slight Injury,16
1823,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,19
1824,Sunday,31-50,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving to the left,Slight Injury,19
1825,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,3,Driving at high speed,Slight Injury,7
1826,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Overtaking,Slight Injury,7
1827,Monday,Over 51,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,23
1828,Monday,Under 18,Male,Elementary school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,23
1829,Monday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,18-30,3,Moving Backward,Serious Injury,16
1830,Monday,18-30,Male,Elementary school,Other,Above 10yr,Pick up upto 10Q,Governmental,Other,One way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,Moving Backward,Serious Injury,7
1831,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,18-30,3,Changing lane to the left,Serious Injury,7
1832,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury,10
1833,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Long lorry,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,10
1834,Thursday,31-50,Male,Junior high school,Employee,2-5yr,NaN,NaN,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,Over 51,3,Moving Backward,Slight Injury,12
1835,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,31-50,2,Changing lane to the right,Slight Injury,19
1836,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,NaN,Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,2,Changing lane to the left,Slight Injury,19
1837,Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,15
1838,Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,No distancing,Slight Injury,15
1839,Wednesday,31-50,Male,Writing & reading,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Going straight,18-30,3,No priority to vehicle,Slight Injury,8
1859,Wednesday,31-50,Male,NaN,NaN,NaN,Automobile,NaN,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,18-30,3,No distancing,Slight Injury,18
1840,Wednesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,One way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,3,Driving under the influence of drugs,Slight Injury,8
1841,Tuesday,31-50,Male,High school,Employee,2-5yr,Public (> 45 seats),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,8
1842,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,18-30,2,No distancing,Slight Injury,8
1843,Saturday,Unknown,Male,High school,Employee,5-10yr,Automobile,Organization,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Under 18,3,No distancing,Serious Injury,23
1844,Thursday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,18-30,3,Changing lane to the left,Slight Injury,21
1845,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,21
1846,Thursday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Changing lane to the right,Slight Injury,19
1847,Thursday,18-30,Male,High school,Employee,No Licence,Pick up upto 10Q,Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,2,1,Going straight,18-30,3,Driving under the influence of drugs,Slight Injury,19
1848,Thursday,Unknown,Male,Junior high school,Owner,5-10yr,Lorry (11?40Q),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,1,1,Going straight,na,na,Moving Backward,Slight Injury,12
1849,Friday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,Changing lane to the left,Slight Injury,20
1850,Friday,18-30,Male,Junior high school,Employee,2-5yr,Special vehicle,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,3,No priority to pedestrian,Slight Injury,20
1851,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No distancing,Slight Injury,13
1852,Saturday,18-30,Male,NaN,NaN,NaN,NaN,NaN,NaN,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,2,No distancing,Slight Injury,13
1853,Sunday,31-50,Male,NaN,NaN,NaN,NaN,NaN,NaN,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,1,1,Other,na,na,Changing lane to the left,Slight Injury,9
1854,Monday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Over 51,3,Changing lane to the right,Slight Injury,16
1855,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Unknown,31-50,3,Driving carelessly,Slight Injury,16
1856,Wednesday,Unknown,Male,Junior high school,Owner,Above 10yr,Other,Owner,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,No distancing,Serious Injury,8
1857,Wednesday,18-30,Male,NaN,NaN,NaN,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,Changing lane to the left,Slight Injury,14
1858,Wednesday,Unknown,Male,Elementary school,Owner,Above 10yr,Other,Owner,Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Over 51,3,Moving Backward,Slight Injury,14
1860,Wednesday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury,8
1861,Wednesday,Unknown,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,Changing lane to the left,Slight Injury,8
1862,Wednesday,18-30,Male,High school,Owner,Above 10yr,NaN,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,31-50,3,No distancing,Serious Injury,13
1863,Wednesday,Unknown,Male,NaN,NaN,NaN,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,2,Moving Backward,31-50,3,Driving carelessly,Serious Injury,13
1864,Wednesday,Unknown,Male,Elementary school,Employee,5-10yr,NaN,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,31-50,3,No priority to vehicle,Slight Injury,14
1865,Wednesday,31-50,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,2,Changing lane to the right,Slight Injury,16
1866,Wednesday,Unknown,Male,Junior high school,Owner,Below 1yr,NaN,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,18-30,2,Moving Backward,Slight Injury,16
1867,Friday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,2,No priority to vehicle,Slight Injury,19
1868,Friday,18-30,Male,Junior high school,Owner,2-5yr,Taxi,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,2,No priority to pedestrian,Slight Injury,19
1869,Thursday,Unknown,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the left,Serious Injury,13
1870,Thursday,Over 51,Male,Junior high school,Owner,NaN,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the left,Slight Injury,18
1871,Thursday,Unknown,Male,NaN,Owner,Below 1yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving under the influence of drugs,Slight Injury,18
1872,Thursday,31-50,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,Office areas,NaN,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury,18
1873,Thursday,31-50,Male,Elementary school,Owner,Below 1yr,Stationwagen,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,18
1874,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Other,na,na,Changing lane to the right,Slight Injury,11
1875,Wednesday,Under 18,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Moving Backward,na,na,No distancing,Slight Injury,11
1876,Wednesday,31-50,Male,NaN,Owner,NaN,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,Moving Backward,Slight Injury,11
1877,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Under 18,3,No distancing,Slight Injury,18
1878,Saturday,18-30,Male,High school,Owner,5-10yr,NaN,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Driving carelessly,Slight Injury,18
1879,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,18-30,3,No priority to pedestrian,Slight Injury,10
1960,Thursday,31-50,Male,Junior high school,Employee,5-10yr,NaN,Owner,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Over 51,3,Moving Backward,Slight Injury,18
1880,Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,NaN,na,na,No priority to vehicle,Slight Injury,19
